Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,A1,Shot Right OpenPlay Miss,0,0,91,33,-,-
Away,A1,Shot Right OpenPlay Goal,0,0,92,57,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,91,59,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,91,54,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,90,72,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,86,61,-,-
Away,A1,Shot Left OpenPlay Miss,0,0,96,40,-,-
Away,A1,Shot Left OpenPlay Miss,0,0,93,36,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,95,59,-,-
Away,A1,Shot Left OpenPlay Miss,0,0,83,53,-,-
Away,A1,Shot Left OpenPlay Goal,0,0,89,35,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,88,63,-,-
Away,A1,Shot Left OpenPlay Miss,0,0,95,37,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,89,66,-,-
Away,A1,Shot Left OpenPlay Goal,0,0,90,25,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,86,64,-,-
Away,A1,Shot Right OpenPlay Goal,0,0,85,39,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,84,29,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,79,52,-,-
Away,A1,Shot Right OpenPlay Miss,0,0,88,35,-,-
Away,A1,Shot Right OpenPlay Goal,0,0,94,40,-,-
Away,A1,Shot Left OpenPlay Miss,0,0,78,38,-,-
Away,A1,Shot Right OpenPlay Goal,0,0,90,64,-,-
Away,A1,Shot Left Freekick Miss,0,0,75,39,-,-